"2019-09-25, 19:00", ,Žalgiris,4 : 0,Atlantas,LFF stadionas
"2019-09-25, 18:00", ,Stumbras,0 : 3,Sūduva,LFF Kauno treniruočių centro st.
"2019-09-25, 17:00", ,Palanga,1 : 3,Riteriai,Palangos m. stadionas

"2019-09-24, 18:00", ,Panevėžys,2 : 7,Sūduva,„Aukštaitijos“ stadionas

"2019-09-21, 19:00", ,Atlantas,3 : 0,Stumbras,Klaipėdos m. centrinis stadionas
"2019-09-21, 15:00", ,K. Žalgiris,0 : 2,Sūduva,„Kauno Žalgirio“ FA stadionas
"2019-09-21, 13:00", ,Riteriai,1 : 1,Žalgiris,LFF stadionas

"2019-09-14, 17:00", ,Stumbras,0 : 3,Riteriai,LFF Kauno treniruočių centro st.
"2019-09-14, 15:00", ,Palanga,2 : 3,K. Žalgiris,Palangos m. stadionas
"2019-09-13, 19:00", ,Atlantas,0 : 4,Sūduva,Klaipėdos m. centrinis stadionas
"2019-09-13, 19:00", ,Žalgiris,5 : 0,Panevėžys,LFF stadionas

"2019-09-01, 18:00", ,Panevėžys,3 : 0,Stumbras,„Aukštaitijos“ stadionas
"2019-08-31, 17:00", ,K. Žalgiris,1 : 0,Atlantas,„Kauno Žalgirio“ FA stadionas
"2019-08-31, 15:00", ,Palanga,0 : 4,Žalgiris,Palangos m. stadionas

"2019-08-25, 18:00", ,Palanga,0 : 2,Atlantas,Palangos m. stadionas
"2019-08-24, 17:00", ,Stumbras,0 : 3,K. Žalgiris,LFF Kauno treniruočių centro st.
"2019-08-23, 18:00", ,Panevėžys,4 : 2,Riteriai,„Aukštaitijos“ stadionas

"2019-08-18, 17:00", ,Atlantas,0 : 2,Panevėžys,Klaipėdos m. centrinis stadionas
"2019-08-18, 15:00", ,Stumbras,0 : 3,Žalgiris,LFF Kauno treniruočių centro st.
"2019-08-17, 19:00", ,K. Žalgiris,1 : 0,Riteriai,„Kauno Žalgirio“ FA stadionas

"2019-08-12, 18:00", ,Panevėžys,3 : 1,Palanga,„Aukštaitijos“ stadionas

"2019-08-11, 19:00", ,Žalgiris,3 : 0,K. Žalgiris,LFF stadionas
"2019-08-11, 15:00", ,Palanga,3 : 0,Stumbras,Palangos m. stadionas
"2019-08-10, 19:00", ,Riteriai,1 : 1,Atlantas,LFF stadionas

"2019-08-04, 19:00", ,Atlantas,1 : 3,Žalgiris,Klaipėdos m. centrinis stadionas
"2019-08-03, 19:00", ,Sūduva,3 : 0,Stumbras,Marijampolės futbolo arenos stadionas
"2019-08-03, 17:00", ,Riteriai,1 : 0,Palanga,LFF stadionas
"2019-08-03, 15:00", ,K. Žalgiris,2 : 2,Panevėžys,„Kauno Žalgirio“ FA stadionas

"2019-07-06, 17:00", ,Stumbras,0 : 3,Atlantas,LFF Kauno treniruočių centro st.
"2019-07-05, 19:00", ,Žalgiris,2 : 1,Riteriai,LFF stadionas
"2019-07-04, 18:00", ,Palanga,1 : 2,Panevėžys,Palangos m. stadionas
"2019-07-03, 20:00", ,Sūduva,3 : 0,K. Žalgiris,Marijampolės futbolo arenos stadionas

"2019-06-29, 20:00", ,Riteriai,3 : 0,Stumbras,LFF stadionas
"2019-06-29, 19:00", ,Sūduva,4 : 1,Atlantas,Marijampolės futbolo arenos stadionas
"2019-06-29, 18:00", ,K. Žalgiris,4 : 0,Palanga,„Kauno Žalgirio“ FA stadionas
"2019-06-29, 16:00", ,Panevėžys,0 : 2,Žalgiris,„Aukštaitijos“ stadionas

"2019-06-23, 19:00", ,Žalgiris,3 : 2,Palanga,LFF stadionas
"2019-06-22, 19:00", ,Sūduva,1 : 2,Riteriai,Marijampolės futbolo arenos stadionas
"2019-06-22, 17:00", ,Stumbras,0 : 3,Panevėžys,LFF Kauno treniruočių centro st.
"2019-06-22, 15:00", ,Atlantas,1 : 1,K. Žalgiris,Klaipėdos m. centrinis stadionas

"2019-06-15, 19:00", ,Sūduva,2 : 1,Panevėžys,Marijampolės futbolo arenos stadionas
"2019-06-15, 17:00", ,Stumbras,0 : 3,Palanga,LFF Kauno treniruočių centro st.
"2019-06-14, 20:00", ,K. Žalgiris,3 : 4,Žalgiris,„Kauno Žalgirio“ FA stadionas
"2019-06-14, 18:00", ,Atlantas,2 : 3,Riteriai,Klaipėdos m. centrinis stadionas

"2019-06-02, 18:00", ,Panevėžys,4 : 1,Atlantas,„Aukštaitijos“ stadionas
"2019-06-01, 19:00", ,Riteriai,1 : 0,K. Žalgiris,LFF stadionas
"2019-06-01, 17:00", ,Palanga,0 : 2,Sūduva,Palangos m. stadionas
"2019-05-31, 19:00", ,Žalgiris,2 : 1,Stumbras,LFF stadionas

"2019-05-22, 20:00", ,Sūduva,1 : 0,Žalgiris,Marijampolės futbolo arenos stadionas
"2019-05-22, 18:00", ,K. Žalgiris,4 : 3,Stumbras,„Kauno Žalgirio“ FA stadionas
"2019-05-21, 20:00", ,Riteriai,1 : 1,Panevėžys,LFF stadionas
"2019-05-21, 18:00", ,Atlantas,2 : 1,Palanga,Klaipėdos m. centrinis stadionas

"2019-05-18, 19:00", ,Sūduva,2 : 0,Stumbras,Marijampolės futbolo arenos stadionas
"2019-05-18, 18:00", ,Palanga,1 : 3,Riteriai,Palangos m. stadionas
"2019-05-18, 17:00", ,Panevėžys,1 : 1,K. Žalgiris,„Aukštaitijos“ stadionas
"2019-05-17, 19:00", ,Žalgiris,3 : 0,Atlantas,LFF stadionas

"2019-05-12, 17:00", ,Panevėžys,2 : 1,Palanga,„Aukštaitijos“ stadionas
"2019-05-12, 14:00", ,Atlantas,0 : 0,Stumbras,Klaipėdos m. centrinis stadionas
"2019-05-11, 15:00", ,K. Žalgiris,0 : 3,Sūduva,LFF Kauno treniruočių centro st.
"2019-05-11, 13:00", ,Riteriai,1 : 0,Žalgiris,LFF stadionas

"2019-05-05, 19:00", ,Žalgiris,2 : 1,Panevėžys,LFF stadionas
"2019-05-05, 17:00", ,Sūduva,4 : 0,Atlantas,Marijampolės futbolo arenos stadionas
"2019-05-05, 15:00", ,Palanga,0 : 3,K. Žalgiris,Klaipėdos dirbtinės dangos st.
"2019-05-04, 17:00", ,Stumbras,0 : 3,Riteriai,LFF Kauno treniruočių centro st.

"2019-04-27, 20:00", ,Riteriai,1 : 2,Sūduva,LFF stadionas
"2019-04-27, 17:00", ,K. Žalgiris,2 : 1,Atlantas,LFF Kauno treniruočių centro st.
"2019-04-27, 15:00", ,Palanga,1 : 4,Žalgiris,Klaipėdos dirbtinės dangos st.
"2019-04-27, 13:00", ,Panevėžys,1 : 1,Stumbras,„Žemynos“ progimnazijos stadionas

"2019-04-20, 15:00", ,Riteriai,0 : 0,Atlantas,LFF stadionas
"2019-04-20, 13:00", ,Palanga,2 : 1,Stumbras,Klaipėdos dirbtinės dangos st.
"2019-04-19, 19:00", ,Žalgiris,3 : 1,K. Žalgiris,LFF stadionas
"2019-04-19, 17:30", ,Panevėžys,1 : 2,Sūduva,„Žemynos“ progimnazijos stadionas

"2019-04-14, 17:00", ,Sūduva,3 : 0,Palanga,Marijampolės futbolo arenos stadionas
"2019-04-14, 15:00", ,Atlantas,2 : 1,Panevėžys,Klaipėdos dirbtinės dangos st.
"2019-04-13, 17:30", ,Stumbras,1 : 0,Žalgiris,LFF Kauno treniruočių centro st.
"2019-04-13, 13:00", ,K. Žalgiris,3 : 1,Riteriai,LFF Kauno treniruočių centro st.

"2019-04-07, 19:00", ,Žalgiris,1 : 0,Sūduva,LFF stadionas
"2019-04-07, 17:00", ,Panevėžys,1 : 2,Riteriai,„Žemynos“ progimnazijos stadionas
"2019-04-06, 17:00", ,Stumbras,0 : 1,K. Žalgiris,LFF Kauno treniruočių centro st.
"2019-04-06, 13:00", ,Palanga,2 : 1,Atlantas,Klaipėdos dirbtinės dangos st.

"2019-04-02, 19:00", ,Riteriai,3 : 1,Palanga,LFF stadionas
"2019-03-31, 17:00", ,Stumbras,2 : 0,Sūduva,LFF Kauno treniruočių centro st.
"2019-03-30, 13:00", ,K. Žalgiris,2 : 0,Panevėžys,LFF Kauno treniruočių centro st.
"2019-03-30, 13:00", ,Atlantas,0 : 3,Žalgiris,Klaipėdos dirbtinės dangos st.

"2019-03-17, 15:00", ,Palanga,1 : 1,Panevėžys,Klaipėdos dirbtinės dangos st.
"2019-03-16, 17:00", ,Sūduva,1 : 0,K. Žalgiris,Marijampolės futbolo arenos maniežas
"2019-03-16, 15:00", ,Stumbras,2 : 0,Atlantas,LFF Kauno treniruočių centro st.
"2019-03-15, 19:30", ,Žalgiris,1 : 1,Riteriai,„Sportima“

"2019-03-11, 19:30", ,Riteriai,0 : 0,Stumbras,„Sportima“
"2019-03-10, 15:00", ,Atlantas,0 : 5,Sūduva,Klaipėdos dirbtinės dangos st.
"2019-03-09, 15:00", ,Panevėžys,0 : 3,Žalgiris,„Žemynos“ progimnazijos stadionas
"2019-03-09, 13:00", ,K. Žalgiris,6 : 1,Palanga,LFF Kauno treniruočių centro st.

"2019-03-03, 19:30", ,Žalgiris,5 : 1,Palanga,„Sportima“
"2019-03-03, 17:00", ,Sūduva,2 : 1,Riteriai,Marijampolės futbolo arenos maniežas
"2019-03-02, 17:00", ,Stumbras,1 : 0,Panevėžys,LFF Kauno treniruočių centro st.
"2019-03-02, 15:00", ,Atlantas,2 : 0,K. Žalgiris,Klaipėdos dirbtinės dangos st.
